feature,gain
numeric__eqpdays,52397.94185090065
numeric__months,44895.07879638672
numeric__current_to_3m_usage,35980.927290439606
numeric__current_to_lifetime_usage,26764.63320684433
numeric__recurring_revenue_share,20247.249826550484
numeric__equipment_age_to_tenure,18832.22896885872
numeric__current_to_3m_revenue,17701.708380699158
numeric__hnd_price,14273.160210728645
numeric__totmrc_Mean,13616.892872810364
categorical__crclscod,10465.2922321558
numeric__voice_drop_rate,9738.840588450432
numeric__minutes_per_call,8923.913812875748
numeric__current_to_6m_usage,8735.762285470963
numeric__overage_usage_share,8638.45854973793
numeric__lor,8563.627437472343
numeric__lifetime_calls_per_month,8462.913345813751
categorical__ethnic,7985.577749967575
numeric__received_voice_share,7976.492599487305
numeric__active_subscriber_share,7094.83738386631
numeric__call_completion_rate,7063.4142870903015
numeric__call_failure_rate,7060.106673240662
numeric__current_to_lifetime_revenue,6860.749863862991
numeric__change_rev,6489.578044652939
numeric__change_mou,6393.577374458313
numeric__usage_vs_3m,6141.134791851044
numeric__offpeak_voice_share,5971.559621334076
numeric__peak_voice_share,5939.553889036179
numeric__avgqty,5869.85467839241
numeric__voice_block_rate,5856.4738075733185
numeric__lifetime_revenue_per_month,5732.484730839729
numeric__current_to_6m_revenue,5701.153140306473
categorical__area,5517.411320209503
numeric__usage_vs_6m,5472.778475046158
numeric__mouowylisv_Mean,5142.777661085129
numeric__totrev,5094.198677301407
numeric__revenue_vs_6m,5075.714265584946
numeric__mouiwylisv_Mean,4982.115506649017
numeric__revenue_vs_3m,4981.130638360977
numeric__avgrev,4853.104922056198
numeric__inonemin_Mean,4804.041568279266
numeric__mou_cvce_Mean,4650.9771139621735
numeric__rev_Mean,4634.411484479904
numeric__voice_unanswered_rate,4413.682119607925
numeric__overage_revenue_share,4412.243365049362
numeric__adjrev,4199.488522052765
numeric__customer_care_calls_per_100_calls,4192.56446146965
numeric__iwylis_vce_Mean,4178.930571079254
numeric__revenue_per_minute,4157.735862493515
numeric__customer_care_minutes_per_call,4116.955470323563
numeric__totcalls,4032.5933713912964
numeric__mou_peav_Mean,3880.108358979225
numeric__mou_opkv_Mean,3611.8390179872513
numeric__drop_blk_Mean,3501.070164203644
numeric__opk_vce_Mean,3461.1501269340515
numeric__uniqsubs,3443.8450878858566
categorical__asl_flag,3347.8283717632294
numeric__owylis_vce_Mean,3336.75052690506
