feature,importance
months,7.200448272848579
eqpdays,6.284410813709984
change_mou,6.208248065890453
mou_Mean,4.607606880682589
totmrc_Mean,4.279828916352757
change_rev,3.203327450309036
hnd_price,2.408291657147304
avgqty,2.3539519050337003
crclscod,2.298464658368961
drop_vce_Mean,1.8335882878260605
avgrev,1.8245922883699792
ethnic,1.8156828043311368
uniqsubs,1.7309056102281128
lor,1.6879780361826389
rev_Mean,1.5852739794229618
area,1.459385144175426
mou_cvce_Mean,1.4291530413954021
avgmou,1.4057476494770418
unan_vce_Mean,1.324495087698599
inonemin_Mean,1.3103830339508549
avg3mou,1.3103196443621012
iwylis_vce_Mean,1.2863522876075622
mouowylisv_Mean,1.2202113891904045
drop_blk_Mean,1.1996616054840694
mou_opkv_Mean,1.1415373083321996
blck_vce_Mean,1.0667571194906615
mouiwylisv_Mean,1.054512470040831
vceovr_Mean,1.0432405986241302
totrev,1.016193845131406
ovrmou_Mean,1.009944718999994
mou_peav_Mean,1.0084333788629878
phones,0.9824610677918091
income,0.9766576278192383
hnd_webcap,0.9748366229154735
da_Mean,0.9612553737376504
adjqty,0.9606579758739805
roam_Mean,0.9603580979110652
prizm_social_one,0.9497274328994296
totcalls,0.9465059424125657
ovrrev_Mean,0.9174160161850125
cc_mou_Mean,0.9163833556393921
avg3qty,0.9046423228426022
mou_rvce_Mean,0.8853762442246789
peak_vce_Mean,0.8512211456859464
opk_vce_Mean,0.8389871780743148
avg6mou,0.837829231219292
adjrev,0.8375851191455184
custcare_Mean,0.8208018403941542
avg3rev,0.7669781350855706
asl_flag,0.7009410332561876
totmou,0.6866274457354493
owylis_vce_Mean,0.6865208397702889
refurb_new,0.6432421347641556
recv_vce_Mean,0.6181236046483807
threeway_Mean,0.6133118468309844
dualband,0.6117190211748452
HHstatin,0.5943790070092897
avg6rev,0.5813457380619935
marital,0.5504621355208887
avg6qty,0.5489764549407483
actvsubs,0.5282132427622322
adults,0.5235810100583724
callwait_Mean,0.5214603439285512
ccrndmou_Mean,0.5166016737194838
adjmou,0.47273864367896457
comp_vce_Mean,0.380507848679127
dwlltype,0.37449138937892545
complete_Mean,0.355263808804879
kid16_17,0.3071214350034833
ownrent,0.3019075844324044
new_cell,0.29704017574240893
dwllsize,0.281378193665307
numbcars,0.26933698190651933
datovr_Mean,0.23130721447519229
models,0.22099110883534342
attempt_Mean,0.22035151266567216
plcd_vce_Mean,0.21669195305155348
mou_opkd_Mean,0.20183491390404254
mou_cdat_Mean,0.19912967666079806
infobase,0.19578344052615315
truck,0.18642941002193109
mou_pead_Mean,0.15876291623761332
unan_dat_Mean,0.14833670211734754
kid11_15,0.14757073717526337
creditcd,0.1338780662123027
recv_sms_Mean,0.12158677279631128
peak_dat_Mean,0.11803204729895002
kid6_10,0.10588641065913834
plcd_dat_Mean,0.09607189644630348
kid3_5,0.08951837648016875
kid0_2,0.07440098736843415
comp_dat_Mean,0.06653271777558006
blck_dat_Mean,0.06572555377408502
forgntvl,0.03899243112257203
rv,0.03691120765371768
opk_dat_Mean,0.03130171393099686
drop_dat_Mean,0.027087278030821504
callfwdv_Mean,0.0029846819201731272
